Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,Maturity
SC62320,1,S,1,0,1,0,0,0,0,0,0,0,0,2,538,677,39,33,1660,C. l,MH
,,V,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62320,2,S,7,0,0,0,0,1,1,0,1,0,1,11,441,559,14,27,826,C. i,MH
,,V,4,0,0,0,0,1,0,0,0,0,0,5,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62320,3,S,3,0,0,0,0,2,0,0,0,0,0,5,497,626,27,16,1327,C. l,MH
,,V,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62320,4,S,4,0,0,0,0,0,0,0,0,0,0,4,481,609,76,21,1155,C. l,WH
,,V,3,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62320,5,S,2,0,1,0,2,0,0,0,0,0,0,5,454,572,44,25,1041,C. l,MH
,,V,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62320,6,S,0,0,0,0,0,0,0,0,0,0,0,0,555,696,58,33,1775,C. l,PH
,,V,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62320,7,S,5,0,0,0,0,1,0,0,0,0,0,6,525,662,100,33,1736,C. l,MH
,,V,3,0,1,0,0,0,0,0,0,0,0,4,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62320,8,S,1,0,0,0,0,0,0,0,0,0,0,1,528,663,65,35,1651,C. l,MH
,,V,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62220,1,S,0,0,0,0,0,0,0,0,0,0,0,0,455,572,28,9,624,C. i,MH
,,V,3,1,0,0,0,1,0,1,0,1,0,7,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62220,2,S,1,0,0,0,0,0,0,0,0,0,0,1,405,513,32,13,623,C. l,PH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62220,3,S,0,0,0,0,0,0,0,0,0,0,0,0,333,415,23,2,237,R. t,WH
,,V,3,1,0,0,0,0,0,0,0,0,0,4,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62220,4,S,0,0,0,0,0,0,0,0,0,0,0,0,291,362,3,2,110,R. t,MH
,,V,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SC62220,5,S,1,0,0,0,0,0,0,0,0,0,0,1,430,539,7,10,706,C. i,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
