Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,CommonName,Maturity
SC62320,1,S,1,0,1,0,0,0,0,0,0,0,0,2,538,677,39,33,1660,C. l,blacktip,MH
SC62320,1,V,1,0,0,0,0,0,0,0,0,0,0,1,538,677,39,33,1660,C. l,blacktip,MH
SC62320,1,B,1,0,0,0,0,0,0,0,0,0,0,1,538,677,39,33,1660,C. l,blacktip,MH
SC62320,1,DF,0,0,0,0,0,0,0,0,0,0,0,0,538,677,39,33,1660,C. l,blacktip,MH
SC62320,2,S,7,0,0,0,0,1,1,0,1,0,1,11,441,559,14,27,826,C. i,finetooth,MH
SC62320,2,V,4,0,0,0,0,1,0,0,0,0,0,5,441,559,14,27,826,C. i,finetooth,MH
SC62320,2,B,0,0,0,0,0,0,0,0,0,0,0,0,441,559,14,27,826,C. i,finetooth,MH
SC62320,2,DF,0,0,0,0,0,0,0,0,0,0,0,0,441,559,14,27,826,C. i,finetooth,MH
SC62320,3,S,3,0,0,0,0,2,0,0,0,0,0,5,497,626,27,16,1327,C. l,blacktip,MH
SC62320,3,V,2,0,0,0,0,0,0,0,0,0,0,2,497,626,27,16,1327,C. l,blacktip,MH
SC62320,3,B,0,0,0,0,0,0,0,0,0,0,0,0,497,626,27,16,1327,C. l,blacktip,MH
SC62320,3,DF,0,0,0,0,0,0,0,0,0,0,0,0,497,626,27,16,1327,C. l,blacktip,MH
SC62320,4,S,4,0,0,0,0,0,0,0,0,0,0,4,481,609,76,21,1155,C. l,blacktip,WH
SC62320,4,V,3,0,0,0,0,0,0,0,0,0,0,3,481,609,76,21,1155,C. l,blacktip,WH
SC62320,4,B,0,0,0,0,0,0,0,0,0,0,0,0,481,609,76,21,1155,C. l,blacktip,WH
SC62320,4,DF,0,0,0,0,0,0,0,0,0,0,0,0,481,609,76,21,1155,C. l,blacktip,WH
SC62320,5,S,2,0,1,0,2,0,0,0,0,0,0,5,454,572,44,25,1041,C. l,blacktip,MH
SC62320,5,V,2,0,0,0,0,0,0,0,0,0,0,2,454,572,44,25,1041,C. l,blacktip,MH
SC62320,5,B,0,0,0,0,0,0,0,0,0,0,0,0,454,572,44,25,1041,C. l,blacktip,MH
SC62320,5,DF,0,0,0,0,0,0,0,0,0,0,0,0,454,572,44,25,1041,C. l,blacktip,MH
